Regional Indicator,Ladder Score,GDP,Social Support,Life Expectancy,Freedom Make Life Choices,Generosity,Perceptions of Corruption,Dystopia Residual,Country,Density
Europe,7.842,10.775,0.954,72,0.949,-0.098,0.186,3.253,Finland,0.026845638
Europe,7.62,10.933,0.954,72.7,0.946,0.03,0.179,2.868,Denmark,0.031879195
Europe,7.571,11.117,0.942,74.4,0.919,0.025,0.292,2.839,Switzerland,0.021812081
Europe,7.554,10.878,0.983,73,0.955,0.16,0.673,2.967,Iceland,0.031879195
Europe,7.464,10.932,0.942,72.4,0.913,0.175,0.338,2.798,Netherlands,0.031879195
Europe,7.392,11.053,0.954,73.3,0.96,0.093,0.27,2.58,Norway,0.033557047
Europe,7.363,10.867,0.934,72.7,0.945,0.086,0.237,2.683,Sweden,0.035234899
Europe,7.324,11.647,0.908,72.6,0.907,-0.034,0.386,2.653,Luxembourg,0.030201342
Oceana,7.277,10.643,0.948,73.4,0.929,0.134,0.242,2.612,New Zealand,0.036912752
Europe,7.268,10.906,0.934,73.3,0.908,0.042,0.481,2.784,Austria,0.036912752
Oceana,7.183,10.796,0.94,73.9,0.914,0.159,0.442,2.598,Australia,0.035234899
Africa,7.157,10.575,0.939,73.503,0.8,0.031,0.753,3.083,Israel,0.036912752
Europe,7.155,10.873,0.903,72.5,0.875,0.011,0.46,2.824,Germany,0.036912752
America,7.103,10.776,0.926,73.8,0.915,0.089,0.415,2.585,Canada,0.035234899
Europe,7.085,11.342,0.947,72.4,0.879,0.077,0.363,2.384,Ireland,0.036912752
America,7.069,9.88,0.891,71.4,0.934,-0.126,0.809,3.387,Costa Rica,0.020134228
Europe,7.064,10.707,0.934,72.5,0.859,0.233,0.459,2.596,United Kingdom,0.038590604
Europe,6.965,10.556,0.947,70.807,0.858,-0.208,0.868,3.124,Czech Republic,0.02852349
America,6.951,11.023,0.92,68.2,0.837,0.098,0.698,2.807,United States,0.023489933
Europe,6.834,10.823,0.906,72.199,0.783,-0.153,0.646,2.862,Belgium,0.038590604
Europe,6.69,10.704,0.942,74,0.822,-0.147,0.571,2.521,France,0.035234899
Africa,6.647,10.669,0.862,69.495,0.925,0.089,0.722,2.631,Bahrain,0.02852349
Europe,6.602,10.674,0.931,72.2,0.927,0.133,0.653,2.268,Malta,0.041946309
Asia,6.584,10.871,0.898,69.6,0.784,-0.07,0.721,2.687,Taiwan Province of China,0.02852349
Africa,6.561,11.085,0.844,67.333,0.932,0.074,0.589,2.422,United Arab Emirates,0.025167785
Africa,6.494,10.743,0.891,66.603,0.877,-0.149,0.684,2.668,Saudi Arabia,0.026845638
Europe,6.491,10.571,0.932,74.7,0.761,-0.081,0.745,2.513,Spain,0.021812081
Europe,6.483,10.623,0.88,73.8,0.693,-0.084,0.866,2.794,Italy,0.035234899
Europe,6.461,10.529,0.948,71.4,0.949,-0.101,0.806,2.388,Slovenia,0.026845638
America,6.435,9.053,0.813,64.958,0.906,-0.038,0.775,3.375,Guatemala,0.016778523
America,6.431,9.966,0.925,69.1,0.896,-0.092,0.59,2.6,Uruguay,0.040268456
Asia,6.377,11.488,0.915,76.953,0.927,-0.018,0.082,1.379,Singapore,0.003355705
Europe,6.372,9.318,0.821,63.813,0.869,0.257,0.917,3.182,Kosovo,0.013422819
